product_barcode,product_label,product_size,brand_name,manufacturer_country,manufacturer_name,scan_country,data_url,bottle_weight,bottle_count,Date
0,Purified drinking water,500ml,Rehaan ice,KE,Al Hatim Traders,KE,https://wastebase.org/#/o/f434a282-c578-461d-b773-307feb39c462,,11,Apr-22
86,Original,500ml,Coca-Cola,US,Coca-Cola,CA,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,1,Apr-22
25833820458,Óleo de soja refinado,5.0 L,San drop,MZ,Gein Group,MZ,https://wastebase.org/#/o/45c04382-9034-4d6b-abbb-92daff751d13,,2,Apr-22
25833821028,Óleo de soja refinado,2.0 L,San drop,MZ,Gein Group,MZ,https://wastebase.org/#/o/45c04382-9034-4d6b-abbb-92daff751d13,,57,Apr-22
25833821059,Óleo de girassol refinado,5.0 L,San drop,MZ,Gein Group,MZ,https://wastebase.org/#/o/45c04382-9034-4d6b-abbb-92daff751d13,,53,Apr-22
415668,Extra Virgin Olive Oil,1.0 L,Sainsbury's,GB,J Sainsbury plc,GB,https://wastebase.org/#/o/5f838907-d73e-4fb2-b6f9-952d19ce1105,,1,Apr-22
55577420263,Fruit Punch,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1,Apr-22
55577420515,Blue Cool Carbonated Sports Drink,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,4,Apr-22
55577420515,Blue Cool Carbonated Sports Drink,591 ml,Gatorade,US,"Pepsico, Inc",RW,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,4,Apr-22
55577420751,Gatorade,591ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,2,Apr-22
55577420935,G2 Fruit Punch Half the Sugar,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1,Apr-22
55577420942,G2 Half The Sugar Grape,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1,Apr-22
55577421017,Lemon Lime,710 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1,Apr-22
55577421024,G Cool Blue,710 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,2,Apr-22
56920012012,Yop,266ml,Yoplait,US,"General Mills, Inc",CA,https://wastebase.org/#/o/a50bb239-3db4-4bbc-a42a-5107dcf79f54,,2,Apr-22
56920012272,Vanilla Yop,200 ml,Yoplait,US,"General Mills, Inc",CA,https://wastebase.org/#/o/a50bb239-3db4-4bbc-a42a-5107dcf79f54,,1,Apr-22
57271160025,Frost Carbonated Sports Drink,591 ml,Gatorade,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,2,Apr-22
