product_barcode,product_label,product_size,brand_name,manufacturer_country,manufacturer_name,scan_country,data_url,bottle_weight,bottle_count,Date
6.00983E+12,Fizz,350 ml,Fizz,MZ,Mopani Internacional Lda,MZ,https://wastebase.org/#/o/a34f6bbf-55f1-46c7-82db-d13b2a8d65b8,21.5,4212,Aug-21
6.00967E+12,Namaacha Mineral Water,500 ml,Água de Namaacha,MZ,Sociedade de Águas de Moçambique,MZ,https://wastebase.org/#/o/90c9868b-d408-490e-b3ec-15d784b5947c,17,2358,Aug-21
6.00983E+12,Lemon / Limao,350 ml,Fizz,MZ,Mopani Internacional Lda,MZ,https://wastebase.org/#/o/a34f6bbf-55f1-46c7-82db-d13b2a8d65b8,21.5,2333,Aug-21
6.00983E+12,Energy Drink,350 ml,Fizz,MZ,Mopani Internacional Lda,MZ,https://wastebase.org/#/o/a34f6bbf-55f1-46c7-82db-d13b2a8d65b8,21.5,2149,Aug-21
42381105,Coke Zero,280 ml,Coca-Cola,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,20.5,1210,Aug-21
6.00966E+12,Ananas/Pineapple Carbonated Soft Drink,500ml,Fiesta,MZ,Fiesta Moçambique Lda.,MZ,https://wastebase.org/#/o/3ff05ee7-f22a-410f-9f5c-3e6ce3c8a8c8,26,1193,Aug-21
5.449E+12,Coca-Cola,2.0 L,Coca-Cola,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,52.5,1184,Aug-21
6.00983E+12,Cola Drink,350 ml,Fizz,MZ,Mopani Internacional Lda,MZ,https://wastebase.org/#/o/a34f6bbf-55f1-46c7-82db-d13b2a8d65b8,21.5,914,Aug-21
5.449E+12,Coca Cola,1.0 L,Coca-Cola,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,37.5,835,Aug-21
6.16111E+12,Energy Drink,350 ml,Frozy,MZ,Yaafico Industrial Lda,MZ,https://wastebase.org/#/o/4d807269-db16-4aaf-a454-934634c8c319,25,767,Aug-21
6.00965E+12,Vumba Mineral Water,500ml,Vumba,MZ,"Sociedade Águas Vumba, SA",MZ,https://wastebase.org/#/o/027e8655-81cd-44c9-b14e-b15181f61a8f,,761,Aug-21
6.00983E+12,Fizz,350 ml,Fizz,MZ,Mopani Internacional Lda,MZ,https://wastebase.org/#/o/a34f6bbf-55f1-46c7-82db-d13b2a8d65b8,21.5,725,Aug-21
6.00983E+12,Aquaplus Mineral Water,6.0 L,Aquaplus,MZ,Mopani Internacional Lda,MZ,https://wastebase.org/#/o/a34f6bbf-55f1-46c7-82db-d13b2a8d65b8,,665,Aug-21
6.00966E+12,Fiesta Limão,500 ml,Fiesta,MZ,Fiesta Moçambique Lda.,MZ,https://wastebase.org/#/o/3ff05ee7-f22a-410f-9f5c-3e6ce3c8a8c8,26,570,Aug-21
6.00983E+12,Fizz,350 ml,Fizz,MZ,Mopani Internacional Lda,MZ,https://wastebase.org/#/o/a34f6bbf-55f1-46c7-82db-d13b2a8d65b8,21.5,557,Aug-21
6.00967E+12,Mineral Water,1.5 L,Água de Namaacha,MZ,Sociedade de Águas de Moçambique,MZ,https://wastebase.org/#/o/90c9868b-d408-490e-b3ec-15d784b5947c,47.5,552,Aug-21
2.08962E+12,Agua Mineral,5.0 L,Água de Namaacha,MZ,Sociedade de Águas de Moçambique,MZ,https://wastebase.org/#/o/90c9868b-d408-490e-b3ec-15d784b5947c,110,549,Aug-21
6.00983E+12,Mineral Water,600 ml,Aquaplus,MZ,Mopani Internacional Lda,MZ,https://wastebase.org/#/o/a34f6bbf-55f1-46c7-82db-d13b2a8d65b8,25,492,Aug-21
6.00965E+12,Mineral Water,1.5 L,Vumba,MZ,"Sociedade Águas Vumba, SA",MZ,https://wastebase.org/#/o/027e8655-81cd-44c9-b14e-b15181f61a8f,33,485,Aug-21
40822426,Bonaqua Mineral Water,500 ml,Bonaqua,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,413,Aug-21
5.449E+12,Sprite,2.0 L,Sprite,TZ,Coca Cola Kwanza Ltd,MZ,https://wastebase.org/#/o/140be07e-cc74-45ea-a7ff-d463a01b5342,,402,Aug-21
42380696,Fanta Orange,280ml,Fanta,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,20.5,346,Aug-21
6.1611E+12,Energy Drink,350 ml,Frozy,MZ,Yaafico Industrial Lda,MZ,https://wastebase.org/#/o/4d807269-db16-4aaf-a454-934634c8c319,25,342,Aug-21
5.449E+12,Fanta Orange,2.0 L,Fanta,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,49,289,Aug-21
5.449E+12,Coca Cola Cans 330ml Pk24 A00768,0.33L,Coca-Cola,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,277,Aug-21
5.449E+12,Fanta,1.0 L,Fanta,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,264,Aug-21
80922377,Agua Vumba,1.5 L,Vumba,MZ,"Sociedade Águas Vumba, SA",MZ,https://wastebase.org/#/o/027e8655-81cd-44c9-b14e-b15181f61a8f,,224,Aug-21
6.00967E+12,Mineral Water,5.0 L,Fonte Fresca,MZ,Sociedade de Águas de Moçambique,MZ,https://wastebase.org/#/o/90c9868b-d408-490e-b3ec-15d784b5947c,,221,Aug-21
6.00966E+12,Grape - Carbonated Soft Drink,500 ml,Fiesta,MZ,Fiesta Moçambique Lda.,MZ,https://wastebase.org/#/o/3ff05ee7-f22a-410f-9f5c-3e6ce3c8a8c8,26,211,Aug-21
5.449E+12,Sprite,1.0 L,Sprite,TZ,Coca Cola Kwanza Ltd,MZ,https://wastebase.org/#/o/140be07e-cc74-45ea-a7ff-d463a01b5342,,209,Aug-21
6.00966E+12,Morango Refresco,500 ml,Fiesta,MZ,Fiesta Moçambique Lda.,MZ,https://wastebase.org/#/o/3ff05ee7-f22a-410f-9f5c-3e6ce3c8a8c8,26,203,Aug-21
5.449E+12,Sparletta,2.0 L,Sparletta,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,49,173,Aug-21
6.00988E+12,Cola,340 ml,Izy,MZ,Moz Beverages Lda,MZ,https://wastebase.org/#/o/f66aacf8-5f3f-4a41-8240-376962c3aaff,21,166,Aug-21
5.449E+12,Fanta Orange Zero,2.0 L,Fanta,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,147,Aug-21
6.00966E+12,vimto gaseficado,500ml,Vimto,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,145,Aug-21
6.20301E+12,Pure Drinking Water,1.6 L,Uhai,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,144,Aug-21
6.00982E+12,Vengo Mineral Water,500 ml,Vengo,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,144,Aug-21
6.00983E+12,Água mineral,1.75L,Aquaplus,MZ,Mopani Internacional Lda,MZ,https://wastebase.org/#/o/a34f6bbf-55f1-46c7-82db-d13b2a8d65b8,,140,Aug-21
6.20301E+12,Pure Drinking Water,1.0 L,Hill Water,TZ,Hill Group,TZ,https://wastebase.org/#/o/bd4f2b11-425f-4423-a549-89741c8c5318,,129,Aug-21
6.00966E+12,Fiesta,2.0 L,Fiesta,MZ,Fiesta Moçambique Lda.,MZ,https://wastebase.org/#/o/3ff05ee7-f22a-410f-9f5c-3e6ce3c8a8c8,,125,Aug-21
6.00988E+12,IZY Lemon Dew,340ml,Izy,MZ,Moz Beverages Lda,MZ,https://wastebase.org/#/o/f66aacf8-5f3f-4a41-8240-376962c3aaff,21,118,Aug-21
6.00988E+12,Izy Coco Pine,340 ml,Izy,MZ,Moz Beverages Lda,MZ,https://wastebase.org/#/o/f66aacf8-5f3f-4a41-8240-376962c3aaff,21,117,Aug-21
5.70599E+12,Oleo Vegetal,2.0 L,Maeva,MZ,Maeva,MZ,https://wastebase.org/#/o/4a879ee8-03cf-4482-a0a9-0677b3343188,,110,Aug-21
7.8116E+11,Fiesta Laranja,500 ml,Fiesta,MZ,Fiesta Moçambique Lda.,MZ,https://wastebase.org/#/o/3ff05ee7-f22a-410f-9f5c-3e6ce3c8a8c8,,105,Aug-21
5.70599E+12,Oleo Vegetal Refinado,5.0 L,Maeva,MZ,Maeva,MZ,https://wastebase.org/#/o/4a879ee8-03cf-4482-a0a9-0677b3343188,,96,Aug-21
6.20301E+12,Xtra Carbonated Drink,400 ml,Mo,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,,93,Aug-21
6.203E+12,Fortified Wine,200ml,Super Burudani,TZ,HAKIKA BREWERIES LIMITED,TZ,https://wastebase.org/#/o/6239068b-f169-454d-aad3-04bf8e298022,,91,Aug-21
6.00988E+12,Frozy,2.0 L,Frozy,MZ,Yaafico Industrial Lda,MZ,https://wastebase.org/#/o/4d807269-db16-4aaf-a454-934634c8c319,,91,Aug-21
6.0098E+12,Agua de Nascente / Spring Water,5.0 L,Vumba,MZ,"Sociedade Águas Vumba, SA",MZ,https://wastebase.org/#/o/027e8655-81cd-44c9-b14e-b15181f61a8f,,91,Aug-21
5.449E+12,Mineral Water,1.5 L,Bonaqua,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,86,Aug-21
6.20302E+12,Extra Berry Flavor Carbonated Soft Drink,400 ml,Mo,TZ,METL Group,TZ,https://wastebase.org/#/o/ead953e7-a526-4ced-970d-f403daaf9c7a,,81,Aug-21
6.20301E+12,Gin,200ml,Leader's Ananasi,UK,UNKNOWN_ORG,TZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,80,Aug-21
5.449E+12,Strawberry / Morango Carbonated Soft Drink,1.0 L,Sparletta,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,79,Aug-21
6.00964E+12,Energy drink,300ml,Azam,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,79,Aug-21
9.506E+12,Cooking Oil,1.0 L,Óleo Dona,SG,Olam International Ltd,MZ,https://wastebase.org/#/o/3b2dbe02-26ea-4c8d-acdb-f0718562cebc,,73,Aug-21
7.01699E+11,Agua Mineral,500ml,Matisana,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,73,Aug-21
5.70599E+12,Oleo Refinado De Soja,2.0 L,Maeva,MZ,Maeva,MZ,https://wastebase.org/#/o/4a879ee8-03cf-4482-a0a9-0677b3343188,,71,Aug-21
7.8116E+11,Fiesta Cola,500 ml,Fiesta,MZ,Fiesta Moçambique Lda.,MZ,https://wastebase.org/#/o/3ff05ee7-f22a-410f-9f5c-3e6ce3c8a8c8,,70,Aug-21
6.00966E+12,Fiesta,2.0 L,Fiesta,MZ,Fiesta Moçambique Lda.,MZ,https://wastebase.org/#/o/3ff05ee7-f22a-410f-9f5c-3e6ce3c8a8c8,,70,Aug-21
6.00967E+12,Agua Mineral Natural,500 ml,Fonte Fresca,MZ,Sociedade de Águas de Moçambique,MZ,https://wastebase.org/#/o/90c9868b-d408-490e-b3ec-15d784b5947c,,65,Aug-21
5.449E+12,Fanta Grape,2.0 L,Fanta,US,Coca-Cola,MZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,49,61,Aug-21
6.20302E+12,Drinking water,1.25 L,Canadian Drinking Water,TZ,Canada Pure Water Company Ltd,TZ,https://wastebase.org/#/o/6d0a1e6b-677e-4466-9db9-d4abd9fc8e40,,60,Aug-21
54491472,Coke,500ml,Coca-Cola,US,Coca-Cola,TZ,https://wastebase.org/#/o/c3710738-2999-4396-a284-6b70bf737fe6,,60,Aug-21
6.20301E+12,Pure Drinking Water,600 ml,Uhai,TZ,BAKHRESA GROUP DIVISIONS,TZ,https://wastebase.org/#/o/0c76efb4-4008-4677-aba1-e10a6e3ef026,,60,Aug-21
